City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,rikitea,PF,75.11,light rain,-23.1203,-134.9692,People ThankYou
2,atuona,PF,77.29,broken clouds,-9.8,-139.0333,Villa Enata
7,sibolga,ID,75.92,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
10,yulara,AU,75.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
13,avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
28,butaritari,KI,81.93,light rain,3.0707,172.7902,Isles Sunset Lodge
36,wanning,CN,75.36,overcast clouds,18.8003,110.3967,Paradise Hotel
38,lakatoro,VU,78.24,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
40,georgetown,MY,78.89,moderate rain,5.4112,100.3354,Cititel Penang
43,vanimo,PG,77.86,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
46,mar del plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
50,puerto ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,sur,OM,80.35,clear sky,22.5667,59.5289,Sur Plaza Hotel
52,faanui,PF,77.67,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,hilo,US,82.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,mahibadhoo,MV,82.18,overcast clouds,3.7833,72.9667,Omadhoo Inn
59,arraial do cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
62,hithadhoo,MV,83.82,scattered clouds,-0.6,73.0833,Scoop Guest House
65,kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
68,cabo san lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
71,kieta,PG,77.22,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
82,hobyo,SO,80.96,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
83,san patricio,US,86.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
84,mecca,SA,82.29,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
88,tevaitoa,PF,77.45,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
