,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,flin flon,CA,1635270917,54.7682,-101.865,39.04,93,90,8.05,mist
1,rikitea,PF,1635270596,-23.1203,-134.9692,75.11,79,100,18.75,light rain
2,atuona,PF,1635270604,-9.8,-139.0333,77.29,68,61,15.9,broken clouds
3,saint-ambroise,CA,1635270714,48.5501,-71.3324,55.94,46,100,3.44,overcast clouds
4,moron,AR,1635270917,-34.6534,-58.6198,98.02,23,14,1.01,few clouds
5,xichang,CN,1635270918,27.8964,102.2634,55.4,79,94,2.37,overcast clouds
6,jamestown,US,1635270603,42.097,-79.2353,44.19,99,90,7.0,mist
7,sibolga,ID,1635270918,1.7427,98.7792,75.92,94,100,0.72,overcast clouds
8,makushino,RU,1635270919,55.2103,67.2442,29.62,65,16,9.6,few clouds
9,zhezkazgan,KZ,1635270919,47.8043,67.7144,41.13,60,100,14.97,overcast clouds
10,yulara,AU,1635270919,-25.2406,130.9889,75.04,53,52,3.44,broken clouds
11,tiksi,RU,1635270801,71.6872,128.8694,12.15,95,100,3.15,overcast clouds
12,taoudenni,ML,1635270597,22.6783,-3.9836,92.64,14,71,4.38,broken clouds
13,avarua,CK,1635270795,-21.2078,-159.775,75.25,64,72,6.91,broken clouds
14,bluff,NZ,1635270574,-46.6,168.3333,51.39,92,100,2.84,overcast clouds
15,tasiilaq,GL,1635270920,65.6145,-37.6368,33.51,83,100,5.7,overcast clouds
16,ribeira grande,PT,1635270920,38.5167,-28.7,72.0,88,75,16.11,broken clouds
17,clyde river,CA,1635270920,70.4692,-68.5914,23.04,83,100,3.47,overcast clouds
18,evanston,US,1635270921,42.0411,-87.6901,58.33,73,72,1.01,broken clouds
19,luau,AO,1635270921,-10.7073,22.2247,67.68,90,75,3.67,light rain
20,punta arenas,CL,1635270593,-53.15,-70.9167,50.11,66,20,34.52,few clouds
21,sobolevo,RU,1635270921,54.4299,31.8996,40.69,60,100,13.31,overcast clouds
22,cape town,ZA,1635270660,-33.9258,18.4232,73.27,55,0,3.0,clear sky
23,amapa,BR,1635270922,1.0,-52.0,97.34,30,82,4.94,broken clouds
24,longyearbyen,SJ,1635270597,78.2186,15.6401,12.04,79,20,6.91,few clouds
25,esperance,AU,1635270922,-33.8667,121.9,48.04,88,81,12.88,broken clouds
26,ushuaia,AR,1635270370,-54.8,-68.3,47.86,66,40,11.5,scattered clouds
27,barrow,US,1635270301,71.2906,-156.7887,24.82,86,90,9.22,overcast clouds
28,butaritari,KI,1635270793,3.0707,172.7902,81.93,77,37,12.82,light rain
29,guilin,CN,1635270923,25.2819,110.2864,66.31,83,63,5.41,broken clouds
30,hofn,IS,1635270800,64.2539,-15.2082,41.99,93,100,30.65,moderate rain
31,codrington,AU,1635270606,-38.2667,141.9667,48.78,59,14,8.43,few clouds
32,tuensang,IN,1635270923,26.2833,94.8333,60.17,97,4,3.29,clear sky
33,vaini,TO,1635270572,-21.2,-175.2,71.76,83,20,11.5,few clouds
34,richards bay,ZA,1635270923,-28.783,32.0377,67.33,92,99,3.71,light rain
35,hasaki,JP,1635270804,35.7333,140.8333,50.4,71,2,4.03,clear sky
36,wanning,CN,1635270924,18.8003,110.3967,75.36,91,100,10.13,overcast clouds
37,nelson bay,AU,1635270924,-32.7167,152.15,62.69,94,2,9.8,clear sky
38,lakatoro,VU,1635270925,-16.0999,167.4164,78.24,85,10,5.88,clear sky
39,mosjoen,NO,1635270925,65.836,13.1908,46.67,93,75,9.22,light rain
40,georgetown,MY,1635270906,5.4112,100.3354,78.89,97,40,7.0,moderate rain
41,egvekinot,RU,1635270925,66.3167,-179.1667,-0.13,89,80,5.41,broken clouds
42,provideniya,RU,1635270608,64.3833,-173.3,14.99,81,89,5.53,overcast clouds
43,vanimo,PG,1635270779,-2.6741,141.3028,77.86,89,85,4.59,moderate rain
44,albany,US,1635270578,42.6001,-73.9662,55.58,94,100,1.01,light rain
45,thompson,CA,1635270834,55.7435,-97.8558,37.56,81,90,8.05,overcast clouds
46,mar del plata,AR,1635270909,-38.0023,-57.5575,84.22,59,0,8.01,clear sky
47,saint george,US,1635270601,37.1041,-113.5841,59.63,39,1,7.0,clear sky
48,geraldton,AU,1635270451,-28.7667,114.6,63.01,63,75,18.41,light rain
49,mataura,NZ,1635270608,-46.1927,168.8643,50.94,100,100,0.34,overcast clouds
50,puerto ayora,EC,1635270595,-0.7393,-90.3518,75.16,74,67,10.96,broken clouds
51,sur,OM,1635270926,22.5667,59.5289,80.35,73,0,9.98,clear sky
52,faanui,PF,1635270591,-16.4833,-151.75,77.67,77,78,10.11,broken clouds
53,marsa matruh,EG,1635270927,31.3525,27.2453,71.8,73,0,9.22,clear sky
54,nouadhibou,MR,1635270927,20.931,-17.0347,70.09,77,100,19.42,overcast clouds
55,hilo,US,1635270589,19.7297,-155.09,82.27,76,20,9.22,few clouds
56,hermanus,ZA,1635270599,-34.4187,19.2345,64.8,82,100,16.46,overcast clouds
57,assens,DK,1635270927,55.2702,9.9008,52.11,89,97,11.68,overcast clouds
58,mahibadhoo,MV,1635270928,3.7833,72.9667,82.18,75,100,11.7,overcast clouds
59,arraial do cabo,BR,1635270591,-22.9661,-42.0278,76.96,78,75,14.97,broken clouds
60,carnarvon,AU,1635270600,-24.8667,113.6333,64.47,55,75,11.5,broken clouds
61,bimbo,CF,1635270928,4.2567,18.4158,75.13,88,20,3.44,light rain
62,hithadhoo,MV,1635270597,-0.6,73.0833,83.82,71,43,16.62,scattered clouds
63,fereydun kenar,IR,1635270929,36.6864,52.5225,57.51,83,100,16.89,overcast clouds
64,ossora,RU,1635270929,59.2353,163.0719,19.49,86,62,5.14,broken clouds
65,kahului,US,1635270672,20.8947,-156.47,79.84,73,20,4.61,few clouds
66,wana,PK,1635270929,32.2989,69.5725,59.29,51,18,3.4,few clouds
67,pyay,MM,1635270930,18.8167,95.2167,74.55,93,40,2.28,scattered clouds
68,cabo san lucas,MX,1635270712,22.8909,-109.9124,86.61,62,0,10.13,clear sky
69,flinders,AU,1635270757,-34.5833,150.8552,60.8,89,24,3.8,few clouds
70,ponta do sol,PT,1635270605,32.6667,-17.1,72.72,63,56,3.04,broken clouds
71,kieta,PG,1635270930,-6.2167,155.6333,77.22,78,100,6.04,overcast clouds
72,muros,ES,1635270931,42.7762,-9.0603,66.7,76,22,4.12,few clouds
